game_pk,game_date_utc,team_side,team_name,player_id,player_name,bats,hit_probability,expected_hits,expected_total_bases,expected_rbi,home_run_probability,prop_score
824940,2026-04-01T16:15:00+00:00,away,Athletics,669127,Shea Langeliers,R,0.8361,1.461,3.468,6.173,0.4064,4.0767
824940,2026-04-01T16:15:00+00:00,away,Athletics,691777,Max Muncy,R,0.6178,0.846,1.697,1.612,0.207,2.2973
824940,2026-04-01T16:15:00+00:00,away,Athletics,666126,Carlos Cortes,L,0.6897,1.009,1.973,0.608,0.0343,2.1604
824940,2026-04-01T16:15:00+00:00,away,Athletics,628451,Andy Ibáñez,R,0.7239,1.092,1.203,2.798,0.0649,1.8227
824940,2026-04-01T16:15:00+00:00,away,Athletics,805779,Jacob Wilson,R,0.6248,0.863,1.187,1.538,0.0503,1.6314
824940,2026-04-01T16:15:00+00:00,home,Atlanta Braves,686948,Drake Baldwin,L,0.7152,1.067,2.615,2.697,0.3804,3.3875
824940,2026-04-01T16:15:00+00:00,home,Atlanta Braves,642086,Dominic Smith,L,0.7984,1.316,2.261,5.817,0.3177,3.1142
824940,2026-04-01T16:15:00+00:00,home,Atlanta Braves,573262,Mike Yastrzemski,L,0.8057,1.336,2.078,1.11,0.0816,2.4596
824940,2026-04-01T16:15:00+00:00,home,Atlanta Braves,671739,Michael Harris II,L,0.7136,1.067,1.62,2.412,0.199,2.3479
824940,2026-04-01T16:15:00+00:00,home,Atlanta Braves,645277,Ozzie Albies,S,0.6817,0.989,1.57,0.87,0.1744,2.234
824860,2026-04-01T16:35:00+00:00,away,Texas Rangers,669394,Jake Burger,R,0.8939,1.756,2.987,5.42,0.3528,3.7258
824860,2026-04-01T16:35:00+00:00,away,Texas Rangers,457705,Andrew McCutchen,R,0.8653,1.581,2.845,4.467,0.2862,3.4372
824860,2026-04-01T16:35:00+00:00,away,Texas Rangers,608369,Corey Seager,L,0.7463,1.143,2.318,3.71,0.3149,3.1282
824860,2026-04-01T16:35:00+00:00,away,Texas Rangers,643376,Danny Jansen,R,0.7299,1.107,2.034,5.563,0.264,2.7672
824860,2026-04-01T16:35:00+00:00,away,Texas Rangers,607043,Brandon Nimmo,L,0.8217,1.414,2.042,3.587,0.1575,2.6484
824860,2026-04-01T16:35:00+00:00,home,Baltimore Orioles,624413,Pete Alonso,R,0.7519,1.173,1.883,1.794,0.1783,2.5295
824860,2026-04-01T16:35:00+00:00,home,Baltimore Orioles,683002,Gunnar Henderson,L,0.6135,0.84,1.481,3.245,0.1914,2.1398
824860,2026-04-01T16:35:00+00:00,home,Baltimore Orioles,681297,Colton Cowser,L,0.7028,1.035,1.478,1.037,0.0935,2.0125
824860,2026-04-01T16:35:00+00:00,home,Baltimore Orioles,668939,Adley Rutschman,S,0.6681,0.952,1.638,0.859,0.0333,1.9313
824860,2026-04-01T16:35:00+00:00,home,Baltimore Orioles,677942,Blaze Alexander,R,0.7613,1.204,1.471,1.056,0.02,1.9115
824536,2026-04-01T16:40:00+00:00,away,Pittsburgh Pirates,664040,Brandon Lowe,L,0.7578,1.184,3.122,3.735,0.3855,3.7565
824536,2026-04-01T16:40:00+00:00,away,Pittsburgh Pirates,656811,Ryan O'Hearn,L,0.8449,1.473,2.601,5.506,0.3028,3.3847
824536,2026-04-01T16:40:00+00:00,away,Pittsburgh Pirates,665833,Oneil Cruz,L,0.6318,0.875,1.91,2.533,0.2749,2.6056
824536,2026-04-01T16:40:00+00:00,away,Pittsburgh Pirates,693304,Nick Gonzales,R,0.7963,1.312,1.472,2.526,0.0463,2.0123
824536,2026-04-01T16:40:00+00:00,away,Pittsburgh Pirates,668804,Bryan Reynolds,S,0.5363,0.692,1.195,1.575,0.1463,1.7663
824536,2026-04-01T16:40:00+00:00,home,Cincinnati Reds,701398,Sal Stewart,R,0.8531,1.479,2.993,2.823,0.3504,3.8308
824536,2026-04-01T16:40:00+00:00,home,Cincinnati Reds,682829,Elly De La Cruz,S,0.5717,0.755,1.76,1.737,0.2902,2.5017
824536,2026-04-01T16:40:00+00:00,home,Cincinnati Reds,666181,Will Benson,L,0.6408,0.893,1.633,1.027,0.0962,2.0333
824536,2026-04-01T16:40:00+00:00,home,Cincinnati Reds,667472,Dane Myers,R,0.8174,1.389,1.564,0.852,0.0201,2.0251
824536,2026-04-01T16:40:00+00:00,home,Cincinnati Reds,553993,Eugenio Suárez,R,0.5266,0.676,1.311,3.112,0.1617,1.8634
823483,2026-04-01T17:05:00+00:00,away,Washington Nationals,686894,Joey Wiemer,R,0.8861,1.675,3.39,4.64,0.3994,4.0778
823483,2026-04-01T17:05:00+00:00,away,Washington Nationals,691781,Brady House,R,0.7857,1.276,1.797,2.558,0.2089,2.571
823483,2026-04-01T17:05:00+00:00,away,Washington Nationals,695734,Daylen Lile,L,0.8637,1.583,2.221,2.707,0.0206,2.4854
823483,2026-04-01T17:05:00+00:00,away,Washington Nationals,696285,Jacob Young,R,0.6005,0.812,1.65,2.006,0.2427,2.3204
823483,2026-04-01T17:05:00+00:00,away,Washington Nationals,660688,Keibert Ruiz,S,0.5797,0.773,1.498,3.876,0.2171,2.1475
823483,2026-04-01T17:05:00+00:00,home,Philadelphia Phillies,665561,Rafael Marchán,S,0.7471,1.168,3.483,8.776,0.4077,3.942
823483,2026-04-01T17:05:00+00:00,home,Philadelphia Phillies,656941,Kyle Schwarber,L,0.5342,0.688,1.776,2.538,0.352,2.6114
823483,2026-04-01T17:05:00+00:00,home,Philadelphia Phillies,669016,Brandon Marsh,L,0.8433,1.481,1.997,1.792,0.0755,2.4534
823483,2026-04-01T17:05:00+00:00,home,Philadelphia Phillies,666969,Adolis García,R,0.6604,0.94,1.858,2.402,0.1588,2.3207
823483,2026-04-01T17:05:00+00:00,home,Philadelphia Phillies,681082,Bryson Stott,L,0.6972,1.023,1.164,1.054,0.0681,1.7784
822835,2026-04-01T17:07:00+00:00,away,Colorado Rockies,690924,Braxton Fulford,R,0.7805,1.261,2.918,2.887,0.3985,3.6265
822835,2026-04-01T17:07:00+00:00,away,Colorado Rockies,681198,TJ Rumfield,L,0.8645,1.575,2.262,2.679,0.213,2.9423
822835,2026-04-01T17:07:00+00:00,away,Colorado Rockies,687859,Troy Johnston,L,0.7441,1.151,1.96,2.136,0.2864,2.7938
822835,2026-04-01T17:07:00+00:00,away,Colorado Rockies,696100,Hunter Goodman,R,0.8036,1.343,2.22,1.784,0.1753,2.7676
822835,2026-04-01T17:07:00+00:00,away,Colorado Rockies,678662,Ezequiel Tovar,R,0.7593,1.2,2.094,4.138,0.1434,2.5483
822835,2026-04-01T17:07:00+00:00,home,Toronto Blue Jays,676914,Davis Schneider,R,0.6795,0.98,2.917,4.239,0.3781,3.4748
822835,2026-04-01T17:07:00+00:00,home,Toronto Blue Jays,665926,Andrés Giménez,L,0.8728,1.619,2.669,4.561,0.1745,3.1204
822835,2026-04-01T17:07:00+00:00,home,Toronto Blue Jays,660821,Jesús Sánchez,L,0.8379,1.464,2.307,4.544,0.2094,2.938
822835,2026-04-01T17:07:00+00:00,home,Toronto Blue Jays,664702,Myles Straw,R,0.9054,1.818,2.402,0.652,0.0631,2.7212
822835,2026-04-01T17:07:00+00:00,home,Toronto Blue Jays,672960,Kazuma Okamoto,R,0.682,0.982,1.837,2.515,0.3068,2.6963
823889,2026-04-01T17:10:00+00:00,away,Chicago White Sox,808959,Munetaka Murakami,L,0.6404,0.887,2.306,3.38,0.3617,3.0567
823889,2026-04-01T17:10:00+00:00,away,Chicago White Sox,678246,Miguel Vargas,R,0.7032,1.039,1.916,5.109,0.1769,2.4777
823889,2026-04-01T17:10:00+00:00,away,Chicago White Sox,695657,Colson Montgomery,L,0.6423,0.896,1.524,4.132,0.2309,2.305
823889,2026-04-01T17:10:00+00:00,away,Chicago White Sox,677592,Everson Pereira,R,0.5849,0.779,1.578,1.036,0.1767,2.107
823889,2026-04-01T17:10:00+00:00,away,Chicago White Sox,805367,Chase Meidroth,R,0.5977,0.807,1.57,1.105,0.1606,2.1068
823889,2026-04-01T17:10:00+00:00,home,Miami Marlins,689414,Liam Hicks,L,0.8036,1.334,2.958,8.852,0.396,3.6897
823889,2026-04-01T17:10:00+00:00,home,Miami Marlins,665052,Griffin Conine,L,0.8316,1.434,2.594,1.833,0.2972,3.2903
823889,2026-04-01T17:10:00+00:00,home,Miami Marlins,683357,Owen Caissie,L,0.7936,1.292,2.238,4.982,0.2334,2.8747
823889,2026-04-01T17:10:00+00:00,home,Miami Marlins,691594,Javier Sanoja,R,0.9065,1.827,2.651,1.508,0.0216,2.753
823889,2026-04-01T17:10:00+00:00,home,Miami Marlins,669364,Xavier Edwards,S,0.8849,1.695,1.931,0.637,0.0211,2.3378
823078,2026-04-01T17:15:00+00:00,away,New York Mets,682626,Francisco Alvarez,R,0.7521,1.171,2.344,0.987,0.3107,3.1009
823078,2026-04-01T17:15:00+00:00,away,New York Mets,673357,Luis Robert Jr.,R,0.7476,1.15,1.751,4.39,0.226,2.5548
823078,2026-04-01T17:15:00+00:00,away,New York Mets,665742,Juan Soto,L,0.814,1.365,1.868,3.607,0.0202,2.2382
823078,2026-04-01T17:15:00+00:00,away,New York Mets,668901,Mark Vientos,R,0.7713,1.229,1.443,0.6,0.0878,2.0642
823078,2026-04-01T17:15:00+00:00,away,New York Mets,620443,Luis Torrens,R,0.766,1.212,1.334,1.373,0.062,1.9281
823078,2026-04-01T17:15:00+00:00,home,St. Louis Cardinals,676475,Alec Burleson,L,0.8199,1.38,2.177,4.58,0.228,2.9146
823078,2026-04-01T17:15:00+00:00,home,St. Louis Cardinals,602104,Ramón Urías,R,0.6041,0.821,2.069,1.067,0.2669,2.6282
823078,2026-04-01T17:15:00+00:00,home,St. Louis Cardinals,669357,Nolan Gorman,L,0.623,0.855,1.773,4.015,0.3113,2.5947
823078,2026-04-01T17:15:00+00:00,home,St. Louis Cardinals,691023,Jordan Walker,R,0.695,1.018,2.026,2.65,0.1686,2.5177
823078,2026-04-01T17:15:00+00:00,home,St. Louis Cardinals,686780,Pedro Pagés,R,0.6595,0.938,1.799,2.045,0.2292,2.4534
823806,2026-04-01T17:40:00+00:00,away,Tampa Bay Rays,666018,Jonathan Aranda,L,0.8255,1.404,2.583,4.618,0.3376,3.4149
823806,2026-04-01T17:40:00+00:00,away,Tampa Bay Rays,650490,Yandy Díaz,R,0.9021,1.792,2.557,5.452,0.148,3.0282
823806,2026-04-01T17:40:00+00:00,away,Tampa Bay Rays,676356,Jonny DeLuca,R,0.8387,1.478,2.49,3.568,0.1801,2.9642
823806,2026-04-01T17:40:00+00:00,away,Tampa Bay Rays,663743,Nick Fortes,R,0.7679,1.222,2.041,3.425,0.1649,2.5784
823806,2026-04-01T17:40:00+00:00,away,Tampa Bay Rays,802415,Chandler Simpson,L,0.886,1.693,1.995,0.891,0.041,2.4038
823806,2026-04-01T17:40:00+00:00,home,Milwaukee Brewers,596142,Gary Sánchez,R,0.8529,1.518,3.352,4.639,0.3959,4.0332
823806,2026-04-01T17:40:00+00:00,home,Milwaukee Brewers,641343,Jake Bauers,L,0.7502,1.163,2.088,3.463,0.3119,2.9418
823806,2026-04-01T17:40:00+00:00,home,Milwaukee Brewers,592885,Christian Yelich,L,0.7996,1.317,1.964,4.419,0.2339,2.7599
823806,2026-04-01T17:40:00+00:00,home,Milwaukee Brewers,668930,Brice Turang,L,0.8684,1.586,2.282,2.719,0.055,2.6173
823806,2026-04-01T17:40:00+00:00,home,Milwaukee Brewers,686217,Sal Frelick,L,0.5823,0.776,1.503,1.787,0.2122,2.1907
824211,2026-04-01T18:10:00+00:00,away,Boston Red Sox,677800,Wilyer Abreu,L,0.8821,1.68,3.373,4.488,0.3742,3.983
824211,2026-04-01T18:10:00+00:00,away,Boston Red Sox,657136,Connor Wong,R,0.7886,1.284,2.074,1.392,0.0196,2.2574
824211,2026-04-01T18:10:00+00:00,away,Boston Red Sox,678882,Ceddanne Rafaela,R,0.6503,0.919,1.634,1.638,0.1671,2.2083
824211,2026-04-01T18:10:00+00:00,away,Boston Red Sox,665966,Carlos Narváez,R,0.8318,1.443,1.756,0.61,0.0293,2.1835
824211,2026-04-01T18:10:00+00:00,away,Boston Red Sox,691785,Marcelo Mayer,L,0.6326,0.876,1.387,0.584,0.0725,1.8282
824211,2026-04-01T18:10:00+00:00,home,Houston Astros,670541,Yordan Alvarez,L,0.7935,1.279,2.986,4.63,0.3703,3.7181
824211,2026-04-01T18:10:00+00:00,home,Houston Astros,514888,Jose Altuve,R,0.7945,1.266,2.363,2.362,0.3195,3.2506
824211,2026-04-01T18:10:00+00:00,home,Houston Astros,694728,Brice Matthews,R,0.5763,0.767,2.027,1.071,0.3462,2.7532
824211,2026-04-01T18:10:00+00:00,home,Houston Astros,572233,Christian Walker,R,0.8003,1.32,2.156,4.41,0.0624,2.4644
824211,2026-04-01T18:10:00+00:00,home,Houston Astros,694388,Joey Loperfido,L,0.7866,1.29,1.908,0.863,0.0358,2.2323
824698,2026-04-01T18:20:00+00:00,away,Los Angeles Angels,545361,Mike Trout,R,0.7022,1.013,1.897,2.356,0.3024,2.8279
824698,2026-04-01T18:20:00+00:00,away,Los Angeles Angels,694384,Nolan Schanuel,L,0.6906,1.008,1.87,3.689,0.2312,2.5765
824698,2026-04-01T18:20:00+00:00,away,Los Angeles Angels,687263,Zach Neto,R,0.5547,0.722,1.679,2.197,0.2857,2.4356
824698,2026-04-01T18:20:00+00:00,away,Los Angeles Angels,672724,Oswald Peraza,R,0.7338,1.114,1.717,1.687,0.1936,2.41
824698,2026-04-01T18:20:00+00:00,away,Los Angeles Angels,518595,Travis d'Arnaud,R,0.7471,1.156,2.1,0.583,0.0723,2.3478
824698,2026-04-01T18:20:00+00:00,home,Chicago Cubs,665804,Miguel Amaya,R,0.8743,1.635,3.022,4.424,0.4125,3.8507
824698,2026-04-01T18:20:00+00:00,home,Chicago Cubs,664023,Ian Happ,S,0.5765,0.763,2.267,4.353,0.3637,2.9876
824698,2026-04-01T18:20:00+00:00,home,Chicago Cubs,608324,Alex Bregman,R,0.6004,0.81,1.734,1.702,0.3112,2.5617
824698,2026-04-01T18:20:00+00:00,home,Chicago Cubs,608348,Carson Kelly,R,0.6875,0.998,1.2,2.558,0.0901,1.8512
824698,2026-04-01T18:20:00+00:00,home,Chicago Cubs,663538,Nico Hoerner,R,0.6778,0.975,1.339,1.688,0.042,1.7935
825106,2026-04-01T19:40:00+00:00,away,Detroit Tigers,693307,Dillon Dingler,R,0.7675,1.226,2.315,5.468,0.2245,2.8843
825106,2026-04-01T19:40:00+00:00,away,Detroit Tigers,690993,Colt Keith,L,0.8623,1.567,2.176,1.82,0.0567,2.541
825106,2026-04-01T19:40:00+00:00,away,Detroit Tigers,805808,Kevin McGonigle,L,0.7302,1.102,1.389,4.14,0.0364,1.8545
825106,2026-04-01T19:40:00+00:00,away,Detroit Tigers,678009,Parker Meadows,L,0.6624,0.94,1.236,2.037,0.0607,1.7473
825106,2026-04-01T19:40:00+00:00,away,Detroit Tigers,682985,Riley Greene,L,0.595,0.8,1.027,3.171,0.0643,1.5547
825106,2026-04-01T19:40:00+00:00,home,Arizona Diamondbacks,545121,Ildemaro Vargas,S,0.8965,1.763,3.653,4.489,0.4227,4.2484
825106,2026-04-01T19:40:00+00:00,home,Arizona Diamondbacks,699912,Jose Fernandez,R,0.881,1.641,3.321,4.045,0.3931,3.9414
825106,2026-04-01T19:40:00+00:00,home,Arizona Diamondbacks,682998,Corbin Carroll,L,0.6867,0.999,2.254,5.917,0.1776,2.6557
825106,2026-04-01T19:40:00+00:00,home,Arizona Diamondbacks,672695,Geraldo Perdomo,S,0.6924,1.013,1.788,1.753,0.1766,2.394
825106,2026-04-01T19:40:00+00:00,home,Arizona Diamondbacks,672515,Gabriel Moreno,R,0.799,1.318,1.806,1.1,0.0792,2.2944
823321,2026-04-01T20:10:00+00:00,away,San Francisco Giants,642715,Willy Adames,R,0.6389,0.892,1.566,1.667,0.1649,2.1607
823321,2026-04-01T20:10:00+00:00,away,San Francisco Giants,656305,Matt Chapman,R,0.6013,0.812,1.49,1.754,0.1758,2.1177
823321,2026-04-01T20:10:00+00:00,away,San Francisco Giants,664056,Harrison Bader,R,0.5667,0.75,1.539,0.843,0.158,2.0389
823321,2026-04-01T20:10:00+00:00,away,San Francisco Giants,646240,Rafael Devers,L,0.7311,1.109,1.367,0.62,0.0661,1.937
823321,2026-04-01T20:10:00+00:00,away,San Francisco Giants,808982,Jung Hoo Lee,L,0.6214,0.854,1.399,1.637,0.0532,1.7789
823321,2026-04-01T20:10:00+00:00,home,San Diego Padres,657656,Ramón Laureano,R,0.7831,1.27,2.358,2.228,0.222,2.9305
823321,2026-04-01T20:10:00+00:00,home,San Diego Padres,701538,Jackson Merrill,L,0.6884,1.003,1.771,3.359,0.2123,2.4549
823321,2026-04-01T20:10:00+00:00,home,San Diego Padres,665487,Fernando Tatis Jr.,R,0.615,0.84,1.152,0.858,0.0181,1.5632
823321,2026-04-01T20:10:00+00:00,home,San Diego Padres,609280,Miguel Andujar,R,0.6226,0.86,1.116,2.049,0.0201,1.5533
823321,2026-04-01T20:10:00+00:00,home,San Diego Padres,593428,Xander Bogaerts,R,0.6086,0.83,1.167,1.592,0.0187,1.5448
823157,2026-04-01T20:10:00+00:00,away,New York Yankees,519317,Giancarlo Stanton,R,0.9082,1.841,3.166,3.672,0.2064,3.5203
823157,2026-04-01T20:10:00+00:00,away,New York Yankees,700250,Ben Rice,L,0.7941,1.296,1.939,3.338,0.1047,2.4407
823157,2026-04-01T20:10:00+00:00,away,New York Yankees,592450,Aaron Judge,R,0.4828,0.602,1.727,2.424,0.2978,2.3874
823157,2026-04-01T20:10:00+00:00,away,New York Yankees,641355,Cody Bellinger,L,0.805,1.334,1.768,0.647,0.0637,2.2603
823157,2026-04-01T20:10:00+00:00,away,New York Yankees,663757,Trent Grisham,L,0.6588,0.931,1.596,1.712,0.1143,2.0965
823157,2026-04-01T20:10:00+00:00,home,Seattle Mariners,686527,Dominic Canzone,L,0.7638,1.211,2.981,1.866,0.3995,3.6722
823157,2026-04-01T20:10:00+00:00,home,Seattle Mariners,680977,Brendan Donovan,L,0.888,1.688,2.86,3.116,0.3309,3.6404
823157,2026-04-01T20:10:00+00:00,home,Seattle Mariners,670042,Luke Raley,L,0.7037,1.041,2.641,6.343,0.3858,3.3558
823157,2026-04-01T20:10:00+00:00,home,Seattle Mariners,702284,Cole Young,L,0.8005,1.325,2.118,2.891,0.1964,2.7469
823157,2026-04-01T20:10:00+00:00,home,Seattle Mariners,668227,Randy Arozarena,R,0.6554,0.926,1.395,1.504,0.0185,1.7669
824136,2026-04-01T23:40:00+00:00,away,Minnesota Twins,668904,Royce Lewis,R,0.5912,0.795,2.092,3.115,0.3781,2.8979
824136,2026-04-01T23:40:00+00:00,away,Minnesota Twins,656484,Tristan Gray,L,0.8661,1.592,2.543,12.961,0.0314,2.661
824136,2026-04-01T23:40:00+00:00,away,Minnesota Twins,621439,Byron Buxton,R,0.7075,1.051,1.857,0.616,0.1224,2.317
824136,2026-04-01T23:40:00+00:00,away,Minnesota Twins,668885,Austin Martin,R,0.8197,1.368,1.431,0.645,0.0436,2.0535
824136,2026-04-01T23:40:00+00:00,away,Minnesota Twins,663616,Trevor Larnach,L,0.7307,1.11,1.755,1.084,0.0233,2.0525
824136,2026-04-01T23:40:00+00:00,home,Kansas City Royals,664728,Kyle Isbel,L,0.8404,1.477,2.313,2.903,0.2891,3.1086
824136,2026-04-01T23:40:00+00:00,home,Kansas City Royals,695600,Carter Jensen,L,0.5354,0.69,1.583,2.11,0.2796,2.3366
824136,2026-04-01T23:40:00+00:00,home,Kansas City Royals,686555,Isaac Collins,S,0.4868,0.608,1.539,1.103,0.2643,2.2053
824136,2026-04-01T23:40:00+00:00,home,Kansas City Royals,521692,Salvador Perez,R,0.557,0.731,1.49,1.02,0.1849,2.0561
824136,2026-04-01T23:40:00+00:00,home,Kansas City Royals,672580,Maikel Garcia,R,0.7058,1.046,1.481,0.614,0.0188,1.8688
823970,2026-04-02T00:20:00+00:00,away,Cleveland Guardians,800050,Chase DeLauter,L,0.65,0.913,2.537,3.298,0.375,3.2008
823970,2026-04-02T00:20:00+00:00,away,Cleveland Guardians,595978,Austin Hedges,R,0.8289,1.426,2.244,0.601,0.0223,2.4151
823970,2026-04-02T00:20:00+00:00,away,Cleveland Guardians,656555,Rhys Hoskins,R,0.7743,1.23,1.982,1.136,0.0342,2.2735
823970,2026-04-02T00:20:00+00:00,away,Cleveland Guardians,681807,David Fry,R,0.6805,0.985,1.682,0.566,0.0487,1.9808
823970,2026-04-02T00:20:00+00:00,away,Cleveland Guardians,680757,Steven Kwan,L,0.7648,1.21,1.353,1.393,0.0479,1.9089
823970,2026-04-02T00:20:00+00:00,home,Los Angeles Dodgers,690976,Alex Freeland,S,0.7091,1.054,2.775,1.492,0.3832,3.4263
823970,2026-04-02T00:20:00+00:00,home,Los Angeles Dodgers,669257,Will Smith,R,0.7208,1.088,2.44,4.391,0.354,3.2167
823970,2026-04-02T00:20:00+00:00,home,Los Angeles Dodgers,681624,Andy Pages,R,0.7392,1.14,1.918,3.341,0.1921,2.5441
823970,2026-04-02T00:20:00+00:00,home,Los Angeles Dodgers,687221,Dalton Rushing,L,0.8804,1.657,1.787,0.623,0.0767,2.3585
823970,2026-04-02T00:20:00+00:00,home,Los Angeles Dodgers,500743,Miguel Rojas,R,0.8442,1.496,2.023,0.611,0.0204,2.3223
